locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
10832,,,,8.19,10.07,12.03,12.16,7.26,8.99,10.2,10.18,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
10834,,,,5.51,5.9,6.1,5.98,4.96,4.97,5.5,5.02,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
10837,3,5 ,poor to fair,2.41,2.3,2.24,2.32,1.41,1.3,1.24,1.32,12.3,12.3,11.2,11.2,8.4,8.4,9.3,9.3,319,332,339,344,93,95,95,95,4.8,6.6,7.9,8.8,4.4,4.2,4.1,4
10849,1,2,,1.53,1.99,2.21,2.22,0.53,1.02,1.27,1.25,12.3,12.3,11.2,11.2,6.9,16.3,16.3,13.5,325.0,328.0,329.0,329.0,154.0,196.0,200.0,332.0,1.1,1.7,1.9,1.5,0.6,0.6,0.9,1
10850,5,6,,3.82,6.33,7.64,8.95,3.02,5.09,6.72,7.83,12.3,12.3,11.2,11.2,7.6,7.6,7.6,10.2,330.0,336.0,341.0,345.0,53.0,50.0,51.0,15.0,3,5.3,7,7.9,1.1,1.2,1.1,1.6
13830,,,,2.35,2.23,2,1.74,1.36,1.23,1,0.74,12.3,11.2,11.2,12.3,6.9,12.3,12.3,10.2,301,300,299,329,154,323,327,297,2.5,2.2,1.9,1.5,0.7,1,1.4,1.4
16175,1,2,poor,2.99,3.41,3.43,2.75,2.03,2.41,2.45,1.84,5.2,5.2,5.2,4.7,13.5,12.3,12.3,12.3,47,43,45,51,211,211,211,211,3.1,2.8,3,3,1.4,1.4,1.4,1.5
16699,3,4,,3.44,3.52,3.44,3.4,2.41,2.46,2.41,2.38,11.2,11.2,11.2,11.2,4.3,13.5,13.5,13.5,214,215,215,216,172,308,307,307,2.2,2.1,2.1,2,1.9,2,1.9,1.8
17424,12,15,,12.54,14.76,17.86,21.26,8.78,12.02,14.53,15.73,9.3,12.3,12.3,13.5,13.5,0.0,0.0,0.0,235.0,253.0,257.0,258.0,272.0,0.0,0.0,0.0,7.7,12,14.5,16.4,7.6,0,0,0
17513,,,FLAT,1.35,1.28,1.23,1.21,0.35,0.28,0.23,0.21,8.4,8.4,8.4,8.4,5.2,5.7,0,0,101,104,106,105,122,117,0,0,1.8,1.9,1.9,1.9,1,0.7,0,0
18822,6,7,,6.44,6.4,6.95,6.81,5.44,5.4,5.95,5.81,8.4,8.4,9.3,9.3,0,10.2,0,0,107,102,105,106,0,126,0,0,6.4,6.4,6.9,6.8,0,2.6,0,0
103685,1,2,POOR,0.89,1,1.07,1.07,0,0,0.07,0.07,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284,194,193,192,193,284,285,285,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
103685,1,2,POOR,0.89,1,1.07,1.07,0,0,0.07,0.07,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284,194,193,192,193,284,285,285,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
106914,,,FLAT,0.58,0.62,0.53,0.44,0,0,0,0,8.4,5.7,3.2,6.3,4.3,8.4,6.3,10.2,119,203,287,204,212,125,201,114,1,0.9,2,1.3,0.4,0.8,1.4,0.9
106919,,,FLAT,0.57,0.63,0.62,0.61,0,0,0,0,8.4,8.4,3.2,2.9,4.3,2.4,8.4,6.3,121.0,120.0,260.0,254.0,195.0,255.0,125.0,195.0,0.8,0.8,2.1,1,0.2,0.3,0.7,0.8
106923,,,NONE,1.6,1.7,1.55,1.34,0.64,0.81,0.63,0.37,4.7,5.2,5.7,5.2,5.7,10.2,10.2,3.2,232,222,223,219,191,113,111,252,2.1,2.8,2.5,2,1.1,1.1,1,1.1
107410,2,3,,3.55,3.43,3.34,3.38,2.59,2.43,2.34,2.43,9.3,9.3,3.9,4.3,7.6,7.6,7.6,9.3,100.0,107.0,34.0,42.0,82.0,78.0,77.0,103.0,2.4,2.1,1.7,2.6,1.9,1.8,1.7,1.5
107411,12,13,,15.49,13.04,10.91,7.85,13.86,11.67,9.76,6.91,11.2,11.2,11.2,9.3,0.0,0.0,0.0,10.2,208.0,206.0,207.0,221.0,0.0,0.0,0.0,181.0,14.4,12.1,10.1,7.1,0,0,0,4.6
107413,2,3,,1.56,3.44,4.36,9.12,0.56,2.41,3.2,6.75,13.5,13.5,6.9,13.5,10.2,5.7,13.5,16.3,240.0,237.0,219.0,224.0,232.0,224.0,235.0,290.0,1.1,2.6,3.2,6.8,0.8,2.1,2.6,0.1
107422,2,3,,3.65,3.45,3.4,3.23,2.66,2.46,2.4,2.23,6.3,5.7,5.7,5.7,8.4,8.4,7.6,8.4,55.0,56.0,60.0,63.0,109.0,108.0,201.0,201.0,3.7,3.5,3,3.1,0.9,0.9,1.3,3.1
107423,4,6,,6.43,6.19,6.23,5.74,4.79,4.33,4.36,4.02,11.2,11.2,11.2,12.3,5.2,4.7,4.7,5.2,152.0,150.0,150.0,213.0,125.0,137.0,136.0,140.0,4.8,4.1,3.7,3.8,3.1,3.4,3.5,3.4
107563,,,,0,0.06,0.09,0.13,0,0,0,0,0,11.2,11.2,11.2,0,0,0,0,0,120,122,121,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0
107628,5,6,,6.42,5.81,5.5,7.18,6.14,4.81,4.5,6.22,10.2,10.2,9.3,6.9,6.3,3.2,5.2,11.2,223.0,226.0,232.0,231.0,94.0,238.0,238.0,241.0,6.2,5.6,4.8,7.4,2.5,1.7,4.7,3.2
107630,3,5,,4.93,4.73,4.38,3.84,3.45,3.31,3.07,2.68,13.5,13.5,13.5,12.3,10.2,10.2,10.2,10.2,337.0,336.0,336.0,336.0,211.0,214.0,215.0,216.0,2.9,2.8,2.7,2.5,2.6,2.5,2.3,2.1
107631,0,1,,1.15,1.2,1.25,1.3,0.15,0.2,0.25,0.3,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284.0,196.0,196.0,195.0,197.0,285.0,285.0,285.0,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
107634,3,4,,3.89,4.06,4.45,4.72,3.28,2.84,3.12,3.31,6.9,7.6,13.5,13.5,3.9,13.5,7.6,7.6,290.0,289.0,282.0,281.0,46.0,280.0,287.0,285.0,3.3,2.8,2.8,3.2,2.3,2.5,2.7,2.4
107637,4,6,,5.74,5.79,5.15,5.17,4.18,4.05,3.66,3.79,13.5,13.5,12.3,12.3,3.9,4.7,5.2,5.7,280.0,281.0,281.0,282.0,347.0,346.0,31.0,346.0,4.2,4.1,3.9,3.8,1.9,3.4,3.8,2.8
107638,7,8,,7.24,8.34,10.68,10.85,5.62,7.27,8.52,8.97,12.3,11.2,12.3,11.2,8.4,8.4,7.6,11.2,324.0,336.0,342.0,345.0,69.0,69.0,70.0,24.0,5.6,7.6,8.5,9.5,2.5,2.3,2.1,3.7
107640,0,1,,1.15,1.2,1.25,1.29,0.15,0.2,0.25,0.29,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284.0,194.0,193.0,192.0,193.0,284.0,285.0,285.0,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
107641,6,8,,7.08,8.03,9.47,10.56,4.96,5.62,6.95,8.02,8.4,12.3,12.3,12.3,12.3,9.3,9.3,8.4,95.0,324.0,332.0,338.0,311.0,96.0,95.0,93.0,4.8,5.5,7.1,8.2,4.2,4.6,4.5,4.5
107642,4,5,,5.37,5.1,4.62,4.56,3.78,3.67,3.42,3.26,13.5,13.5,12.3,12.3,9.3,4.3,5.2,5.7,282.0,283.0,284.0,284.0,317.0,348.0,344.0,345.0,3.8,3.7,3.5,3.4,1.7,2.1,2.9,3.1
10832,,,,8.19,10.07,12.03,12.16,7.26,8.99,10.2,10.18,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
10834,,,,5.51,5.9,6.1,5.98,4.96,4.97,5.5,5.02,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
10837,3,5 ,poor to fair,2.41,2.3,2.24,2.32,1.41,1.3,1.24,1.32,12.3,12.3,11.2,11.2,8.4,8.4,9.3,9.3,319,332,339,344,93,95,95,95,4.8,6.6,7.9,8.8,4.4,4.2,4.1,4
10849,1,2,,1.53,1.99,2.21,2.22,0.53,1.02,1.27,1.25,12.3,12.3,11.2,11.2,6.9,16.3,16.3,13.5,325,328,329,329,154,196,200,332,1.1,1.7,1.9,1.5,0.6,0.6,0.9,1
10850,5,6,,3.82,6.33,7.64,8.95,3.02,5.09,6.72,7.83,12.3,12.3,11.2,11.2,7.6,7.6,7.6,10.2,330.0,336.0,341.0,345.0,53.0,50.0,51.0,15.0,3,5.3,7,7.9,1.1,1.2,1.1,1.6
109918,1,2,POOR TO FAIR,1.34,1.4,1.34,1.24,0.34,0.4,0.34,0.24,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284,196,196,195,197,285,285,285,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
110352,5,6,,6.94,8.58,10.19,9.76,5.68,7.35,8.24,7.83,11.2,11.2,12.3,12.3,5.2,5.2,4.7,4.7,277,275,267,267,181,174,157,162,5.7,7.3,8.2,7.8,5.1,3.8,2.4,3.4
110383,5,6,,9.01,9.23,8.98,8.23,6.64,6.98,6.93,6.38,12.3,12.3,12.3,12.3,5.7,5.7,5.7,6.9,276,274,270,270,171,186,183,209,6.6,7.1,6.9,6.4,6,6.1,5,3
110386,10,11,,12.98,12.19,11.39,10.11,10.56,9.79,9.03,7.88,12.3,12.3,12.3,12.3,10.2,5.7,7.6,6.9,256,261,263,269,23,160,197,188,10.8,10.1,9,7.9,0.5,3.4,2.8,4.2
110782,3,4,,9.8,8.11,13.29,15.25,8.86,7.11,12.29,14.29,9.3,6.3,8.4,9.3,16.3,9.3,13.5,0,252,211,228,248,257,265,259,0,10.3,8.1,13.3,15.9,1,5.3,1.6,0
